Kinetic read,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
0:14:29,0.098,0.098,0.098,0.098,0.114,0.115,0.115,0.119,0.118,0.114,0.111,0.099,0.121,0.119,0.122,0.124,0.137,0.138,0.135,0.141,0.138,0.17,0.17,0.174,0.173,0.195,0.192,0.198
0:29:29,0.098,0.098,0.098,0.098,0.122,0.122,0.122,0.128,0.126,0.118,0.115,0.098,0.13,0.129,0.132,0.134,0.152,0.153,0.149,0.158,0.156,0.196,0.197,0.203,0.203,0.228,0.225,0.236
0:44:29,0.099,0.098,0.098,0.098,0.132,0.133,0.134,0.14,0.14,0.127,0.122,0.099,0.145,0.143,0.147,0.151,0.174,0.177,0.171,0.182,0.18,0.23,0.233,0.241,0.238,0.273,0.268,0.28
0:59:29,0.098,0.098,0.098,0.098,0.151,0.151,0.151,0.16,0.159,0.14,0.133,0.098,0.167,0.165,0.169,0.175,0.201,0.207,0.201,0.213,0.214,0.275,0.281,0.292,0.286,0.335,0.326,0.342
1:14:29,0.098,0.098,0.098,0.098,0.176,0.177,0.178,0.191,0.189,0.159,0.149,0.098,0.198,0.197,0.201,0.21,0.244,0.251,0.244,0.259,0.267,0.351,0.362,0.382,0.372,0.446,0.431,0.451
1:29:29,0.098,0.098,0.098,0.098,0.222,0.222,0.226,0.239,0.236,0.192,0.174,0.098,0.247,0.246,0.25,0.264,0.312,0.321,0.312,0.333,0.352,0.481,0.492,0.521,0.499,0.598,0.585,0.595
1:44:29,0.098,0.098,0.098,0.098,0.277,0.276,0.284,0.303,0.299,0.243,0.216,0.098,0.319,0.315,0.32,0.346,0.427,0.436,0.425,0.451,0.468,0.61,0.619,0.647,0.63,0.697,0.691,0.69
1:59:29,0.098,0.098,0.098,0.098,0.368,0.365,0.381,0.404,0.401,0.318,0.275,0.098,0.426,0.418,0.429,0.457,0.569,0.573,0.564,0.592,0.602,0.691,0.703,0.728,0.712,0.75,0.748,0.744
2:14:29,0.098,0.098,0.098,0.098,0.497,0.494,0.515,0.541,0.543,0.43,0.37,0.098,0.564,0.563,0.572,0.597,0.663,0.67,0.665,0.687,0.688,0.743,0.753,0.778,0.762,0.805,0.803,0.797
2:29:29,0.099,0.098,0.098,0.098,0.606,0.61,0.621,0.648,0.647,0.57,0.504,0.098,0.661,0.665,0.67,0.681,0.72,0.724,0.72,0.739,0.743,0.8,0.805,0.832,0.816,0.855,0.853,0.844
2:44:29,0.098,0.098,0.098,0.098,0.682,0.686,0.693,0.709,0.713,0.672,0.618,0.098,0.717,0.716,0.726,0.733,0.765,0.776,0.769,0.787,0.791,0.849,0.851,0.875,0.861,0.898,0.896,0.885
2:59:29,0.098,0.098,0.098,0.098,0.733,0.737,0.744,0.754,0.761,0.742,0.696,0.098,0.764,0.767,0.776,0.783,0.814,0.828,0.819,0.836,0.838,0.893,0.893,0.917,0.9,0.94,0.939,0.922
3:14:29,0.098,0.098,0.098,0.098,0.784,0.788,0.794,0.795,0.807,0.794,0.749,0.098,0.808,0.818,0.826,0.831,0.858,0.873,0.863,0.881,0.875,0.937,0.934,0.956,0.937,0.979,0.978,0.959
3:29:29,0.098,0.098,0.098,0.098,0.833,0.835,0.841,0.834,0.848,0.843,0.797,0.098,0.846,0.863,0.871,0.87,0.898,0.915,0.904,0.922,0.908,0.98,0.974,0.994,0.972,1.019,1.018,0.993
3:44:29,0.099,0.098,0.098,0.099,0.872,0.878,0.882,0.867,0.885,0.886,0.842,0.098,0.88,0.905,0.911,0.903,0.935,0.957,0.945,0.963,0.94,1.02,1.012,1.029,1.005,1.058,1.055,1.022
3:59:29,0.098,0.098,0.098,0.098,0.91,0.918,0.92,0.897,0.918,0.924,0.881,0.098,0.913,0.947,0.95,0.935,0.972,0.997,0.985,0.996,0.971,1.058,1.047,1.066,1.036,1.095,1.091,1.05
4:14:29,0.098,0.098,0.098,0.098,0.942,0.956,0.96,0.926,0.95,0.962,0.918,0.098,0.947,0.986,0.989,0.967,1.007,1.035,1.021,1.025,1.003,1.092,1.082,1.096,1.067,1.126,1.122,1.077
4:29:29,0.099,0.098,0.098,0.098,0.97,0.989,0.997,0.955,0.982,1,0.951,0.099,0.977,1.019,1.026,0.995,1.04,1.072,1.058,1.054,1.035,1.126,1.114,1.126,1.097,1.153,1.152,1.105
